"Flavor","CheckId","InstallId","BuildId"
"r-patched-linux-x86_64","e35065be3141e32e28510509717acf94","95999e1be98428411fef0af7595c4c41","8d69f6eaf0b375ff4e8a516a4c56c16c"
"r-release-windows-x86_64","698bfc581bc33ba29af321868dabed58","32ad3ea57f7a2b2e16abb6217678bd12","8d69f6eaf0b375ff4e8a516a4c56c16c"
